0,1,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,10,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10
0,2,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,20,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20
0,3,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,15,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15
0,4,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,10,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10
0,5,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,20,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20
0,6,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,15,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15
0,7,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,10,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10
0,8,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,20,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20
0,9,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,15,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15
1,2,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,10,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10
1,3,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,21,22,20,21,22,21.8,22.03,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20,20,22.26,22.49,22.71,22.94,23.17,23.4,23.63,20
1,4,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,16,17,15,16,17,16.8,17.03,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15,15,17.26,17.49,17.71,17.94,18.17,18.4,18.63,15
1,5,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,11,12,10,11,12,11.8,12.03,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10,10,12.26,12.49,12.71,12.94,13.17,13.4,13.63,10
